Taxon	Abundance	Fraction Abundance
coded_by=complement(356613..359792),organism=Caulobacter sp. Root342,definition=multidrug transporter	1.912	0.0024
coded_by=19650..22793,organism=Acidovorax sp. Leaf160,definition=acriflavine resistance protein B	3.219	0.0041
coded_by=19522..22698,organism=Sphingobium lactosutens DS20,definition=multidrug transporter	8.441	0.0107
coded_by=735362..738514,organism=Ralstonia mannitolilytica,definition=acriflavine resistance protein B	11.385	0.0145
coded_by=complement(3748402..3751593),organism=Burkholderia gladioli BSR3,definition=Transporter, hydrophobe/amphiphile efflux-1 family protein	4.952	0.0063
coded_by=257745..260933,organism=Novosphingobium resinovorum,definition=Multidrug transporter	15.588	0.0198
coded_by=complement(4630990..4634208),organism=Burkholderia gladioli,definition=RND transporter, hydrophobe/amphiphile efflux-1 family protein	17.364	0.0221
coded_by=complement(14820..17942),organism=Paracoccus versutus,definition=multidrug transporter	1.148	0.0015
coded_by=122100..125240,organism=Sphingobium lactosutens DS20,definition=multidrug transporter	10.772	0.0137
coded_by=complement(7150..10344),organism=Caulobacter sp. AP07,definition=hydrophobe/amphiphile efflux-1 (HAE1) family transporter	1.949	0.0025
coded_by=38831..41956,organism=Aeromonas hydrophila HZM,definition=acriflavine resistance protein B	3.105	0.0040
coded_by=complement(528529..531684),organism=Delftia acidovorans SPH-1,definition=transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	3.183	0.0041
coded_by=complement(153348..156497),organism=Stenotrophomonas maltophilia,definition=acriflavine resistance protein B	2.821	0.0036
coded_by=1343319..1346459,organism=Gynuella sunshinyii YC6258,definition=cation/multidrug efflux pump	5.146	0.0066
coded_by=complement(96121..99300),organism=Burkholderia sp. LMG 29318,definition=hydrophobe/amphiphile efflux-1 (HAE1) family protein	4.06	0.0052
coded_by=complement(3736845..3739991),organism=Sinorhizobium fredii NGR234,definition=hydrophobe/amphiphile efflux-1 HAE1	14.511000000000001	0.0185
coded_by=complement(1254044..1257172),organism=Pectobacterium carotovorum subsp. carotovorum PCC21,definition=aminoglycoside/multidrug efflux system	0.924	0.0012
coded_by=1786370..1789486,organism=Sandaracinus amylolyticus,definition=RND efflux system, inner membrane transporter CmeB	26.445	0.0337
coded_by=complement(59048..62191),organism=Xanthomonas arboricola,definition=aminoglycoside/multidrug transporter permease	15.766	0.0201
coded_by=11770..14901,organism=Rubrivivax benzoatilyticus JA2,definition=hydrophobe/amphiphile efflux-1 (HAE1) family transporter	2.053	0.0026
coded_by=complement(23673..26798),organism=Marinobacterium sp. AK27,definition=RND efflux system, inner membrane transporter CmeB	25.112000000000002	0.0320
coded_by=167549..170731,organism=Achromobacter sp. 2789STDY5608625,definition=Probable efflux pump membrane transporter TtgB	1.86	0.0024
coded_by=complement(101112..104300),organism=Paraburkholderia telluris,definition=hydrophobe/amphiphile efflux-1 (HAE1) family protein	8.057	0.0103
coded_by=771747..774935,organism=Burkholderia sp. LMG 29315,definition=hydrophobe/amphiphile efflux-1 (HAE1) family protein	34.938	0.0445
coded_by=complement(647941..651105),organism=Anaeromyxobacter sp. Fw109-5,definition=transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	24.193	0.0308
coded_by=103480..106620,organism=Myxococcus xanthus DK 1622,definition=efflux transporter, HAE1 family, inner membrane component	13.233	0.0168
coded_by=complement(27860..30982),organism=Paracoccus sp. MKU1,definition=multidrug transporter	7.244000000000001	0.0092
coded_by=complement(1609011..1612223),organism=Burkholderia vietnamiensis G4,definition=transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	2.441	0.0031
coded_by=complement(5092431..5095652),organism=Achromobacter xylosoxidans NBRC 15126 = ATCC 27061,definition=RND efflux system, inner membrane transporter CmeB	5.416	0.0069
coded_by=3600357..3603476,organism=Cronobacter sakazakii SP291,definition=multidrug efflux system protein AcrF	8.916	0.0113
coded_by=2337593..2340727,organism=Agrobacterium tumefaciens,definition=acriflavine resistance protein B	13.244	0.0169
coded_by=26500..29670,organism=Sphaerotilus natans subsp. natans DSM 6575,definition=hydrophobe/amphiphile efflux-1 (HAE1) family protein	4.399	0.0056
coded_by=complement(48969..52142),organism=Rhizobacter sp. Root1221,definition=acriflavine resistance protein B	13.561	0.0173
coded_by=complement(1219..4416),organism=Sphingobium sp. AM,definition=multidrug efflux RND transporter permease subunit	3.081	0.0039
