Taxon	Abundance	Fraction Abundance
coded_by=3261256..3262947,organism=Streptosporangium roseum DSM 43021,definition=CTP synthase	2.4589999999999996	0.0015
coded_by=17656..19278,organism=Bacteroidetes bacterium OLB8,definition=CTP synthase	2.185	0.0013
coded_by=complement(1543165..1544832),organism=Thioalkalivibrio versutus,definition=CTP synthetase	1.824	0.0011
coded_by=600742..602373,organism=Afipia felis ATCC 53690,definition=CTP synthase	1.682	0.0010
coded_by=3907073..3908725,organism=Terriglobus roseus DSM 18391,definition=CTP synthase	4.447	0.0027
coded_by=5615..7261,organism=Betaproteobacteria bacterium SCGC AG-212-J23,definition=CTP synthetase	1.703	0.0011
coded_by=complement(42701..44305),organism=Desulfuromonas acetoxidans DSM 684,definition=CTP synthase	0.498	0.0003
coded_by=1439950..1441593,organism=Janthinobacterium sp. Marseille,definition=CTP synthase	1.031	0.0006
coded_by=2803350..2804981,organism=Rhodopseudomonas palustris DX-1,definition=CTP synthase	0.329	0.0002
coded_by=301102..302742,organism=Phenylobacterium sp. Root1277,definition=CTP synthetase	6.134000000000001	0.0038
coded_by=14037..15749,organism=candidate division TM6 bacterium GW2011_GWF2_38_10,definition=CTP synthase	18.161	0.0112
coded_by=4011927..4013537,organism=Fluviicola taffensis DSM 16823,definition=CTP synthase	2.166	0.0013
coded_by=complement(6917..8545),organism=Hyphomicrobium sulfonivorans,definition=CTP synthase	5.127	0.0032
coded_by=complement(40028..41680),organism=Caulobacter sp. AP07,definition=CTP synthase	0.923	0.0006
coded_by=complement(2064661..2066307),organism=Steroidobacter denitrificans,definition=CTP synthetase	44.742999999999995	0.0276
coded_by=complement(139671..141302),organism=Bradyrhizobium diazoefficiens SEMIA 5080,definition=CTP synthase	0.641	0.0004
coded_by=complement(16209..17804),organism=Candidatus Saccharibacteria bacterium GW2011_GWC2_48_9,definition=CTP synthase	1.634	0.0010
coded_by=74161..75792,organism=Bradyrhizobium sp. BR 10303,definition=CTP synthetase	0.164	0.0001
coded_by=complement(15922..17565),organism=uncultured actinobacterium HF0500_35G12,definition=CTP synthase (UTP-ammonia lyase)	4.977	0.0031
coded_by=1..1605,organism=Thermoflexus hugenholtzii JAD2,definition=CTP synthase	7.4479999999999995	0.0046
coded_by=complement(48717..50363),organism=mine drainage metagenome,definition=CTP synthetase	107.20799999999998	0.0661
coded_by=1833158..1834828,organism=Acidobacteria bacterium Mor1,definition=CTP synthetase	5.944	0.0037
coded_by=complement(4916..6520),organism=uncultured bacterium,definition=hypothetical protein	13.324	0.0082
coded_by=3453319..3454950,organism=Bradyrhizobium sp. S23321,definition=CTP synthetase	0.363	0.0002
coded_by=1002151..1003767,organism=Candidatus Nitrosotalea devanaterra,definition=CTP synthase	12.152	0.0075
coded_by=3693227..3694912,organism=Runella slithyformis DSM 19594,definition=CTP synthase	1.894	0.0012
coded_by=complement(4292696..4294327),organism=Bradyrhizobium sp. ORS 278,definition=CTP synthase (UTP--ammonia ligase) (CTP synthetase)	20.414999999999996	0.0126
coded_by=1939021..1940658,organism=Nitrobacter hamburgensis X14,definition=CTP synthase	7.908	0.0049
coded_by=1757022..1758650,organism=Blastochloris viridis,definition=CTP synthase	3.289	0.0020
coded_by=1866167..1867795,organism=Pseudolabrys sp. Root1462,definition=CTP synthetase	4.933999999999999	0.0030
coded_by=complement(3595606..3597231),organism=Magnetospirillum sp. XM-1,definition=CTP synthetase	8.456999999999999	0.0052
coded_by=17776..19410,organism=Kitasatospora sp. Root107,definition=CTP synthetase	4.129	0.0025
coded_by=2213494..2215146,organism=Bordetella holmesii ATCC 51541,definition=CTP synthase	1.632	0.0010
coded_by=complement(1836460..1838067),organism=Geobacter lovleyi SZ,definition=CTP synthase	0.974	0.0006
coded_by=complement(14..1708),organism=Kouleothrix aurantiaca,definition=CTP synthetase	4.475	0.0028
coded_by=complement(25748..27388),organism=uncultured marine group III euryarchaeote KM3-28-E8,definition=CTP synthase	0.7	0.0004
coded_by=complement(70406..72052),organism=Flavihumibacter solisilvae,definition=CTP synthetase	4.482	0.0028
coded_by=complement(656680..658338),organism=Hydrocarboniphaga effusa AP103,definition=CTP synthase	3.6830000000000003	0.0023
coded_by=complement(5307..6938),organism=Gammaproteobacteria bacterium SCGC AG-212-F23,definition=CTP synthetase	1.933	0.0012
coded_by=complement(14768..16441),organism=Burkholderia ginsengiterrae,definition=CTP synthase	2.43	0.0015
coded_by=complement(76249..77877),organism=Oceanibaculum indicum P24,definition=CTP synthetase	1.062	0.0007
coded_by=14126..15757,organism=Bradyrhizobium sp. ORS 375,definition=CTP synthase (UTP--ammonia ligase) (CTP synthetase)	22.548	0.0139
coded_by=complement(79983..81614),organism=Bradyrhizobium elkanii,definition=CTP synthase	8.688999999999998	0.0054
coded_by=7531..9147,organism=Chlorobi bacterium OLB5,definition=CTP synthase	1.874	0.0012
coded_by=complement(49387..51018),organism=Bradyrhizobium sp. BR 10245,definition=CTP synthetase	3.645	0.0022
coded_by=13539..15164,organism=Alphaproteobacteria bacterium BRH_c36,definition=CTP synthetase	0.964	0.0006
coded_by=2385..3992,organism=Parcubacteria bacterium GW2011_GWA2_49_16,definition=CTP synthase	3.987	0.0025
coded_by=6122..7780,organism=Parcubacteria (Magasanikbacteria) bacterium GW2011_GWA2_37_8,definition=CTP synthetase	1.835	0.0011
coded_by=2042899..2044563,organism=Ktedonobacter racemifer DSM 44963,definition=CTP synthase	17.126	0.0106
coded_by=2768919..2770571,organism=Ilumatobacter coccineus YM16-304,definition=CTP synthase	3.3760000000000003	0.0021
coded_by=complement(27569..29224),organism=Asticcacaulis sp. YBE204,definition=CTP synthetase	1.988	0.0012
coded_by=36817..38490,organism=Betaproteobacteria bacterium SG8_41,definition=CTP synthase	4.299	0.0027
coded_by=6881090..6882721,organism=Bradyrhizobium sp.,definition=CTP synthase EC 6342	0.399	0.0002
coded_by=complement(521702..523330),organism=Skermanella stibiiresistens SB22,definition=CTP synthetase	1.051	0.0006
coded_by=2842423..2844072,organism=Acidobacterium capsulatum ATCC 51196,definition=CTP synthase	65.86200000000001	0.0406
coded_by=complement(11890607..11892292),organism=Sorangium cellulosum So0157-2,definition=CTP synthetase	0.332	0.0002
coded_by=30133..31776,organism=Thiorhodococcus sp. AK35,definition=CTP synthase	1.613	0.0010
coded_by=12544..14193,organism=Brevundimonas sp. AAP58,definition=CTP synthase	1.3479999999999999	0.0008
coded_by=complement(33774..35417),organism=Salinisphaera hydrothermalis C41B8,definition=CTP synthetase	0.676	0.0004
coded_by=complement(7524702..7526429),organism=Planctomyces sp. SH-PL14,definition=CTP synthase	5.773	0.0036
coded_by=1113290..1114924,organism=Sphingomonas sp. Leaf20,definition=CTP synthetase	1.686	0.0010
coded_by=complement(17441..19108),organism=mine drainage metagenome,definition=CTP synthetase	11.642	0.0072
coded_by=complement(2611714..2613312),organism=Thermoanaerobacterium thermosaccharolyticum M0795,definition=CTP synthase	3.638	0.0022
coded_by=complement(2373667..2375271),organism=Desulfuromonas sp. DDH964,definition=CTP synthetase	6.353999999999999	0.0039
coded_by=complement(42474..44102),organism=Rhodovulum sp. PH10,definition=CTP synthase	2.648	0.0016
coded_by=complement(3525038..3526654),organism=Planctomyces brasiliensis DSM 5305,definition=CTP synthase	9.359	0.0058
coded_by=complement(1927598..1929250),organism=Caulobacter henricii,definition=CTP synthetase	0.828	0.0005
coded_by=complement(612036..613670),organism=Altererythrobacter atlanticus,definition=CTP synthase	2.09	0.0013
coded_by=16793..18424,organism=Bradyrhizobium jicamae,definition=CTP synthetase	2.71	0.0017
coded_by=86283..87935,organism=Chloroflexi bacterium CSP1-4,definition=CTP synthetase, CTP synthase	15.006	0.0093
coded_by=314810..316435,organism=Snodgrassella alvi,definition=CTP synthase	0.72	0.0004
coded_by=complement(4070860..4072488),organism=Pseudomonas aeruginosa PAO1,definition=CTP synthase	2.714	0.0017
coded_by=1981941..1983575,organism=Gemmata sp. SH-PL17,definition=CTP synthase	3.586	0.0022
coded_by=283705..285390,organism=Pyrinomonas methylaliphatogenes,definition=CTP synthase	0.723	0.0004
coded_by=345009..346613,organism=Candidatus Saccharibacteria bacterium RAAC3_TM7_1,definition=CTP synthase	1.371	0.0008
coded_by=875936..877585,organism=Ferrovum sp. JA12,definition=CTP synthase	0.383	0.0002
coded_by=108351..109958,organism=Carboxydothermus hydrogenoformans Z-2901,definition=CTP synthase	2.874	0.0018
coded_by=complement(4340071..4341747),organism=Candidatus Koribacter versatilis Ellin345,definition=CTP synthase	228.68800000000007	0.1410
coded_by=2256181..2257824,organism=Isosphaera pallida ATCC 43644,definition=CTP synthase	1.971	0.0012
coded_by=complement(50589..>52197),organism=Pedosphaera parvula Ellin514,definition=CTP synthase	13.173	0.0081
coded_by=21619..23253,organism=Gammaproteobacteria bacterium SG8_31,definition=CTP synthase	2.177	0.0013
coded_by=complement(4440..6065),organism=Armatimonadetes bacterium CSP1-3,definition=CTP synthase PyrG	7.8	0.0048
coded_by=complement(65..1696),organism=Bradyrhizobium lablabi,definition=CTP synthetase	0.183	0.0001
coded_by=complement(4799697..4801364),organism=Anaeromyxobacter dehalogenans 2CP-C,definition=CTP synthase	0.941	0.0006
coded_by=complement(885..2501),organism=marine sediment metagenome,definition=hypothetical protein	6.332	0.0039
coded_by=complement(1184787..1186418),organism=Protochlamydia naegleriophila,definition=CTP synthetase	2.079	0.0013
coded_by=141477..143108,organism=Bradyrhizobium pachyrhizi,definition=CTP synthase	2.324	0.0014
coded_by=complement(176131..177768),organism=Planctopirus sp. JC280,definition=CTP synthase	2.074	0.0013
coded_by=5519635..5521275,organism=Granulicella mallensis MP5ACTX8,definition=CTP synthase	18.905	0.0117
coded_by=2028567..2030171,organism=Herpetosiphon aurantiacus DSM 785,definition=CTP synthase	4.571	0.0028
