Taxon	Abundance	Fraction Abundance
coded_by=complement(2975061..2975561),organism=Methylobacterium extorquens PA1,definition=Dihydrofolate reductase	5.254	0.0308
coded_by=complement(161611..162123),organism=Tepidicaulis marinus,definition=dihydrofolate reductase	2.975	0.0174
coded_by=complement(3056025..3056522),organism=Massilia sp. WG5,definition=diacylglycerol kinase	1.604	0.0094
coded_by=complement(98375..98860),organism=Meiothermus silvanus DSM 9946,definition=Dihydrofolate reductase	1.056	0.0062
coded_by=complement(1300589..1301068),organism=Labilithrix luteola,definition=Dihydrofolate reductase	1.276	0.0075
coded_by=complement(18623..19123),organism=Burkholderia sp. ST111,definition=diacylglycerol kinase	2.371	0.0139
coded_by=complement(21550..22032),organism=Microgenomates (Daviesbacteria) bacterium GW2011_GWA2_38_17,definition=Dihydrofolate reductase	1.123	0.0066
coded_by=complement(312879..313385),organism=Pseudomonas aeruginosa,definition=Dihydrofolate reductase	1.808	0.0106
coded_by=26743..27252,organism=Afipia sp. P52-10,definition=diacylglycerol kinase	1.831	0.0107
coded_by=2160..2732,organism=uncultured bacterium,definition=dihydrofolate reductase	2.504	0.0147
coded_by=complement(2931..3452),organism=Betaproteobacteria bacterium SG8_39,definition=hypothetical protein	1.962	0.0115
coded_by=complement(6624789..6625316),organism=Rhodoplanes sp. Z2-YC6860,definition=Dihydrofolate reductase	3.691	0.0216
coded_by=41462..41950,organism=Gammaproteobacteria bacterium SCGC AG-212-F23,definition=dihydrofolate reductase	1.281	0.0075
coded_by=<1..621,organism=uncultured bacterium,definition=Dihydrofolate reductase	5.003	0.0293
coded_by=complement(66685..67191),organism=Acidihalobacter prosperus,definition=Dihydrofolate reductase	4.779	0.0280
coded_by=complement(23283..23795),organism=Bradyrhizobium lablabi,definition=diacylglycerol kinase	9.552	0.0559
coded_by=1084..1557,organism=uncultured bacterium,definition=Dihydrofolate reductase	5.086	0.0298
coded_by=complement(626..1108),organism=uncultured bacterium,definition=Dihydrofolate reductase	2.475	0.0145
coded_by=complement(879451..879975),organism=Candidatus Peribacter riflensis,definition=dihydrofolate reductase	1.081	0.0063
coded_by=2414634..2415149,organism=Rhodopseudomonas palustris BisA53,definition=dihydrofolate reductase	3.555	0.0208
coded_by=complement(951709..952218),organism=Bartonella bacilliformis KC583,definition=dihydrofolate reductase	7.371	0.0431
coded_by=416..916,organism=uncultured bacterium,definition=Dihydrofolate reductase	2.81	0.0164
coded_by=complement(902351..902869),organism=Phenylobacterium zucineum HLK1,definition=dihydrofolate reductase	2.5149999999999997	0.0147
coded_by=53949..54437,organism=Bacillus manliponensis,definition=dihydrofolate reductase	1.826	0.0107
coded_by=complement(84..575),organism=uncultured bacterium,definition=Dihydrofolate reductase	7.987	0.0467
coded_by=1391424..1391927,organism=Steroidobacter denitrificans,definition=dihydrofolate reductase	1.492	0.0087
