Taxon	Abundance	Fraction Abundance
coded_by=2341344..2343149,organism=Singulisphaera acidiphila DSM 18658,definition=GTP-binding protein LepA	3.115	0.0015
coded_by=complement(474089..475903),organism=Blastopirellula marina DSM 3645,definition=GTP-binding protein LepA	1.955	0.0009
coded_by=complement(1706260..1708065),organism=Vulgatibacter incomptus,definition=Translation elongation factor LepA	1.697	0.0008
coded_by=859643..861463,organism=Acidothermus cellulolyticus 11B,definition=GTP-binding protein LepA	0.957	0.0005
coded_by=complement(5773583..5775394),organism=Myxococcus stipitatus DSM 14675,definition=GTP-binding protein LepA	4.76	0.0023
coded_by=complement(2078327..2080132),organism=Desulfuromonas sp. DDH964,definition=GTP-binding protein LepA	0.544	0.0003
coded_by=complement(2597..4399),organism=Clostridia bacterium 62_21,definition=Elongation factor 4	1.506	0.0007
coded_by=2790138..2791943,organism=Acetobacter senegalensis,definition=GTP-binding protein LepA	1.266	0.0006
coded_by=complement(27065..28870),organism=Moorella mulderi DSM 14980,definition=elongation factor 4	4.755	0.0023
coded_by=complement(2061590..2063437),organism=Luteipulveratus sp. C296001,definition=GTP-binding protein LepA	1.631	0.0008
coded_by=100090..101901,organism=Bradyrhizobium liaoningense,definition=elongation factor 4	0.314	0.0002
coded_by=214844..216655,organism=Sphingomonas sp. Leaf17,definition=GTP-binding protein LepA	1.009	0.0005
coded_by=1417..3219,organism=Sorangium cellulosum,definition=elongation factor 4	2.486	0.0012
coded_by=complement(20290..22080),organism=Rhodanobacter sp. FW104-R8,definition=elongation factor 4	16.281	0.0079
coded_by=complement(1693..3498),organism=Acidiphilium sp. PM,definition=GTP-binding protein lepA	6.471	0.0031
coded_by=97831..99642,organism=Bradyrhizobium sp. BR 10303,definition=elongation factor 4	50.61899999999999	0.0245
coded_by=2091824..2093638,organism=Roseiflexus castenholzii DSM 13941,definition=GTP-binding protein LepA	6.557	0.0032
coded_by=1428533..1430338,organism=Acidiphilium cryptum JF-5,definition=GTP-binding protein LepA	0.731	0.0004
coded_by=1941136..1943004,organism=Sphingomonas sp. Leaf357,definition=GTP-binding protein LepA	0.967	0.0005
coded_by=128599..130410,organism=Bradyrhizobium sp. Leaf396,definition=GTP-binding protein LepA	43.076	0.0209
coded_by=complement(1107101..1108912),organism=Crinalium epipsammum PCC 9333,definition=GTP-binding protein LepA	3.347	0.0016
coded_by=226043..227836,organism=Oxalobacter formigenes HOxBLS,definition=elongation factor 4	4.699	0.0023
coded_by=431725..433527,organism=Granulicella mallensis MP5ACTX8,definition=GTP-binding protein LepA	1.5	0.0007
