LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ARSM_HALSA, (O52025) (ARSM_HALSA)
Rhodopseudomonas_palustris, (WP_011159102.1) (Rhodopseudomonas_palustris)
Gemmatimonas_aurantiaca, (YP_002760215.1) (Gemmatimonas_aurantiaca)
Geobacillus_kaustophilus, (YP_146445.1) (Geobacillus_kaustophilus)
Symbiobacterium, (YP_076198.1) (Symbiobacterium)
Thiobacillus_denitrificans, (YP_315186.1) (Thiobacillus_denitrificans)
Pelotomaculum_thermopropionicum, (YP_001210990.1) (Pelotomaculum_thermopropionicum)
Candidatus_Solibacter_usitatus, (YP_825656.1) (Candidatus_Solibacter_usitatus)
Desulfitobacterium_hafniense, (YP_520381.1) (Desulfitobacterium_hafniense)
ROOT_Q9KCC4.1, methyltransferase (ROOT_Q9KCC4.1)
ROOT_Q5WGT4.1, methyltransferase (ROOT_Q5WGT4.1)
AHG89793.1, Gemmatirosa_kalamazoonesis (AHG89793.1)
AIE86290.1, Fimbriimonas_ginsengisoli_Gsoil_348 (AIE86290.1)
GAK57741.1, Candidatus_Vecturithrix_granuli (GAK57741.1)
KPK65197.1, Gemmatimonas_sp._SG8_38_2 (KPK65197.1)
KRT63644.1, Chloroflexi_bacterium_CSP1-4 (KRT63644.1)
OAI56336.1, Acidobacteria_bacterium_SCGC_AG-212-P17 (OAI56336.1)
ODT04205.1, Gemmatimonadetes_bacterium_SCN_70-22 (ODT04205.1)
OFW05407.1, Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_59_11 (OFW05407.1)
OFW11554.1, Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_36 (OFW11554.1)
OFZ87088.1, Betaproteobacteria_bacterium_RBG_16_64_18 (OFZ87088.1)
OFZ98868.1, Betaproteobacteria_bacterium_RIFCSPLOWO2_02_67_12 (OFZ98868.1)
OGA12003.1, Betaproteobacteria_bacterium_RIFCSPLOWO2_02_64_14 (OGA12003.1)
OGA31921.1, Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_64_23 (OGA31921.1)
OGA43357.1, Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_62_13 (OGA43357.1)
OGI69836.1, Candidatus_Muproteobacteria_bacterium_RBG_16_60_9 (OGI69836.1)
OGK79518.1, Candidatus_Rokubacteria_bacterium_GWC2_70_16 (OGK79518.1)
OGK88337.1, Candidatus_Rokubacteria_bacterium_GWC2_70_24 (OGK88337.1)
OGK95185.1, Candidatus_Rokubacteria_bacterium_RIFCSPHIGHO2_02_FULL_73_26 (OGK95185.1)
OGL09119.1, Candidatus_Rokubacteria_bacterium_RIFCSPLOWO2_02_FULL_72_37 (OGL09119.1)
OGT95943.1, Gemmatimonadetes_bacterium_RIFCSPLOWO2_02_FULL_71_11 (OGT95943.1)
OGX19158.1, Omnitrophica_WOR_2_bacterium_RBG_13_44_8b (OGX19158.1)
OHE81282.1, Verrucomicrobia_bacterium_GWF2_62_7 (OHE81282.1)
OJV43380.1, Acidobacteriales_bacterium_59-55 (OJV43380.1)
OLB06409.1, Gemmatimonadetes_bacterium_13_2_20CM_69_27 (OLB06409.1)
OLB14379.1, Gemmatimonadetes_bacterium_13_2_20CM_70_9 (OLB14379.1)
OLB20800.1, Acidobacteriales_bacterium_13_2_20CM_55_8 (OLB20800.1)
OLB27562.1, Acidobacteria_bacterium_13_2_20CM_58_27 (OLB27562.1)
OLB52370.1, Candidatus_Rokubacteria_bacterium_13_2_20CM_2_70_11 (OLB52370.1)
OLB88133.1, Acidobacteriales_bacterium_13_2_20CM_2_55_5 (OLB88133.1)
OLB92933.1, Actinobacteria_bacterium_13_2_20CM_2_66_6 (OLB92933.1)
OLC03417.1, Gemmatimonadetes_bacterium_13_1_40CM_69_22 (OLC03417.1)
OLC04831.1, Actinobacteria_bacterium_13_2_20CM_2_66_6 (OLC04831.1)
OLC07182.1, Gemmatimonadetes_bacterium_13_1_40CM_66_11 (OLC07182.1)
OLC18512.1, Candidatus_Rokubacteria_bacterium_13_1_40CM_69_96 (OLC18512.1)
OLC23624.1, Chloroflexi_bacterium_13_1_40CM_55_7 (OLC23624.1)
OLC50343.1, Chloroflexi_bacterium_13_1_40CM_4_69_19 (OLC50343.1)
OLC50560.1, Acidobacteria_bacterium_13_1_40CM_65_14 (OLC50560.1)
OLC76242.1, Acidobacteria_bacterium_13_1_40CM_4_65_8 (OLC76242.1)
OLC85417.1, Acidobacteria_bacterium_13_1_40CM_4_61_5 (OLC85417.1)
OLC90507.1, Acidobacteria_bacterium_13_1_40CM_4_58_4 (OLC90507.1)
OLC91177.1, Acidobacteria_bacterium_13_1_40CM_4_58_4 (OLC91177.1)
OLD03445.1, Gemmatimonadetes_bacterium_13_1_40CM_3_69_22 (OLD03445.1)
OLD16726.1, Acidobacteriales_bacterium_13_1_40CM_3_55_5 (OLD16726.1)
OLD62189.1, Acidobacteria_bacterium_13_1_40CM_2_60_7 (OLD62189.1)
OLD64941.1, Acidobacteria_bacterium_13_1_40CM_2_68_5 (OLD64941.1)
