LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ARSC1_ECOLX, (P08692) (ARSC1_ECOLX)
ARSC_SHIFL, (P0AB97) (ARSC_SHIFL)
Q9A861_CAUCR, (Q9A861) (Q9A861_CAUCR)
Q9CJQ0_PASMU, (Q9CJQ0) (Q9CJQ0_PASMU)
Q9A083_STRP1, (Q9A083) (Q9A083_STRP1)
Q9CLS9_PASMU, (Q9CLS9) (Q9CLS9_PASMU)
Q9KQ39_VIBCH, (Q9KQ39) (Q9KQ39_VIBCH)
YFGD_ECOLI, (P76569) (YFGD_ECOLI)
Q9I508_PSEAE, (Q9I508) (Q9I508_PSEAE)
ARSC_NEIMB, (P63622) (ARSC_NEIMB)
Q9CM21_PASMU, (Q9CM21) (Q9CM21_PASMU)
ROOT_ARSC_STAAU, (P0A006) (ROOT_ARSC_STAAU)
ROOT_ARSC_BACSU, (P45947) (ROOT_ARSC_BACSU)
ROOT_ARSC_STAXY, (Q01257) (ROOT_ARSC_STAXY)
ABS30734.1, Acidocella_sp._MM9 (ABS30734.1)
ADX31275.1, uncultured_bacterium (ADX31275.1)
AFV13704.1, uncultured_bacterium (AFV13704.1)
AFV13711.1, uncultured_bacterium (AFV13711.1)
AIZ47727.1, uncultured_bacterium (AIZ47727.1)
AIZ47734.1, uncultured_bacterium (AIZ47734.1)
AIZ47739.1, uncultured_bacterium (AIZ47739.1)
AIZ47747.1, uncultured_bacterium (AIZ47747.1)
AIZ47752.1, uncultured_bacterium (AIZ47752.1)
AIZ47754.1, uncultured_bacterium (AIZ47754.1)
AIZ47764.1, uncultured_bacterium (AIZ47764.1)
AIZ47765.1, uncultured_bacterium (AIZ47765.1)
AIZ47770.1, uncultured_bacterium (AIZ47770.1)
AIZ47778.1, uncultured_bacterium (AIZ47778.1)
AIZ47785.1, uncultured_bacterium (AIZ47785.1)
AIZ47800.1, uncultured_bacterium (AIZ47800.1)
AIZ47805.1, uncultured_bacterium (AIZ47805.1)
AIZ47806.1, uncultured_bacterium (AIZ47806.1)
AIZ47807.1, uncultured_bacterium (AIZ47807.1)
AIZ47809.1, uncultured_bacterium (AIZ47809.1)
AIZ47818.1, uncultured_bacterium (AIZ47818.1)
AIZ47825.1, uncultured_bacterium (AIZ47825.1)
AIZ47846.1, uncultured_bacterium (AIZ47846.1)
AIZ47847.1, uncultured_bacterium (AIZ47847.1)
AIZ47848.1, uncultured_bacterium (AIZ47848.1)
AIZ47850.1, uncultured_bacterium (AIZ47850.1)
AIZ47853.1, uncultured_bacterium (AIZ47853.1)
AIZ47857.1, uncultured_bacterium (AIZ47857.1)
AIZ47860.1, uncultured_bacterium (AIZ47860.1)
AIZ47865.1, uncultured_bacterium (AIZ47865.1)
AKB90510.1, Ochrobactrum_tritici (AKB90510.1)
AKS30151.1, uncultured_bacterium (AKS30151.1)
AKS30155.1, uncultured_bacterium (AKS30155.1)
AKS30156.1, uncultured_bacterium (AKS30156.1)
AKS30160.1, uncultured_bacterium (AKS30160.1)
AKS30178.1, uncultured_bacterium (AKS30178.1)
AKS30182.1, uncultured_bacterium (AKS30182.1)
AKS30186.1, uncultured_bacterium (AKS30186.1)
ALC14753.1, Sphingopyxis_sp._113P3 (ALC14753.1)
ALE71908.1, uncultured_bacterium (ALE71908.1)
ALE71912.1, uncultured_bacterium (ALE71912.1)
ALE71921.1, uncultured_bacterium (ALE71921.1)
ALE71926.1, uncultured_bacterium (ALE71926.1)
ARR74491.1, uncultured_bacterium (ARR74491.1)
ARR74508.1, uncultured_bacterium (ARR74508.1)
ARR74548.1, uncultured_bacterium (ARR74548.1)
ART36448.1, uncultured_bacterium (ART36448.1)
ASL43713.1, Burkholderia_sp._AD24 (ASL43713.1)
BAV46814.1, Mesorhizobium_loti (BAV46814.1)
CBA29067.1, Curvibacter_putative_symbiont_of_Hydra_magnipapillata (CBA29067.1)
