Taxon	Abundance	Fraction Abundance
coded_by=103359..103718,organism=Burkholderia cepacia,definition=arsenate reductase	1.095	0.0040
coded_by=complement(739017..739430),organism=Aurantimonas sp. Leaf443,definition=arsenate reductase	1.294	0.0047
coded_by=183304..183732,organism=Sphingopyxis sp. 113P3,definition=arsenate reductase	2.39	0.0086
coded_by=complement(33566..33973),organism=Bradyrhizobium lablabi,definition=arsenate reductase	8.267999999999999	0.0299
coded_by=3079..3504,organism=Methylobacterium variabile,definition=arsenate reductase	1.653	0.0060
coded_by=complement(3780964..3781305),organism=Vulgatibacter incomptus,definition=Arsenate reductase	1.254	0.0045
coded_by=101990..102334,organism=Zetaproteobacteria bacterium CG1_02_55_237,definition=arsenate reductase (glutaredoxin)	1.602	0.0058
coded_by=4856418..4856843,organism=Beijerinckia sp. 28-YEA-48,definition=arsenate reductase	2.138	0.0077
coded_by=complement(47857..48279),organism=Paraburkholderia telluris,definition=arsenate reductase	1.972	0.0071
coded_by=complement(395571..395999),organism=Rhizobiales bacterium 62-47,definition=arsenate reductase (glutaredoxin)	3.383	0.0122
coded_by=complement(292527..292958),organism=Ensifer glycinis,definition=arsenate reductase	1.681	0.0061
coded_by=complement(4534292..4534717),organism=Sphingomonas sanxanigenens DSM 19645 = NX02,definition=arsenate reductase	4.362	0.0158
coded_by=16314..16739,organism=Microvirga guangxiensis,definition=arsenate reductase	1.443	0.0052
coded_by=3843047..3843454,organism=Rhodomicrobium vannielii ATCC 17100,definition=arsenate reductase	1.608	0.0058
coded_by=complement(43386..43817),organism=Comamonas sp. E6,definition=arsenate reductase	2.61	0.0094
coded_by=7002692..7003111,organism=Bradyrhizobium sp.,definition=Arsenate reductase EC 12041 CDS	1.564	0.0057
coded_by=complement(56465..56887),organism=Pseudacidovorax sp. RU35E,definition=arsenate reductase	1.139	0.0041
coded_by=7194..7604,organism=marine sediment metagenome,definition=hypothetical protein	1.469	0.0053
coded_by=152862..153269,organism=Bradyrhizobium valentinum,definition=arsenate reductase	9.386	0.0339
coded_by=5381851..5382261,organism=Bradyrhizobium japonicum SEMIA 5079,definition=arsenate reductase	2.945	0.0107
coded_by=631687..632100,organism=Mesorhizobium plurifarium,definition=arsenate reductase	3.306	0.0120
coded_by=11520..11951,organism=Sphingomonas sp. YR710,definition=arsenate reductase	1.077	0.0039
coded_by=complement(3802499..3802924),organism=Rhodopseudomonas palustris BisB5,definition=arsenate reductase	1.638	0.0059
coded_by=complement(879795..880217),organism=Mesorhizobium sp. WSM1497,definition=arsenate reductase (glutaredoxin)	2.816	0.0102
coded_by=complement(7601..8023),organism=Mesorhizobium alhagi CCNWXJ12-2,definition=arsenate reductase	0.868	0.0031
coded_by=complement(62734..63084),organism=Rhizobiales bacterium 62-17,definition=arsenate reductase (glutaredoxin)	2.198	0.0079
coded_by=52044..52454,organism=Bradyrhizobium sp. Ghvi,definition=arsenate reductase	1.192	0.0043
coded_by=80660..81070,organism=Bradyrhizobium manausense,definition=arsenate reductase	2.149	0.0078
coded_by=300145..300561,organism=Rhizobiales bacterium 64-17,definition=arsenate reductase (glutaredoxin)	3.761	0.0136
coded_by=complement(7536..7961),organism=Pseudomonas psychrotolerans,definition=arsenate reductase	2.6340000000000003	0.0095
coded_by=complement(198134..198538),organism=Rhizobium sp. Root1220,definition=arsenate reductase	3.278	0.0119
coded_by=complement(3022..3447),organism=Paracoccus sp. MKU1,definition=arsenate reductase	4.26	0.0154
coded_by=complement(5751..6179),organism=Sphingomonas sp. RIT328,definition=Arsenate reductase	1.588	0.0057
coded_by=complement(65914..66351),organism=Belnapia rosea,definition=arsenate reductase	1.128	0.0041
coded_by=422243..422677,organism=Azospirillum thiophilum,definition=arsenate reductase	11.458	0.0414
coded_by=complement(17412..17837),organism=Bosea sp. LC85,definition=Arsenate reductase	2.621	0.0095
coded_by=10604..10945,organism=Alphaproteobacteria bacterium 13_1_20CM_3_64_12,definition=arsenate reductase (glutaredoxin)	5.961	0.0216
coded_by=complement(78906..79328),organism=Burkholderia cepacia,definition=arsenate reductase	1.301	0.0047
coded_by=959..1384,organism=alpha proteobacterium AAP38,definition=arsenate reductase	2.246	0.0081
coded_by=19549..19956,organism=Brevundimonas sp. AAP58,definition=arsenate reductase	2.993	0.0108
coded_by=38874..39299,organism=Bosea sp. BIWAKO-01,definition=arsenate reductase	0.938	0.0034
coded_by=537302..537727,organism=Pseudoxanthobacter soli DSM 19599,definition=arsenate reductase	0.959	0.0035
coded_by=2660892..2661293,organism=Bradyrhizobium sp. AT1,definition=arsenate reductase	1.4209999999999998	0.0051
coded_by=83827..84252,organism=bacterium YEK0313,definition=Arsenate reductase	5.196	0.0188
coded_by=9382..9807,organism=Methylobacterium populi,definition=arsenate reductase	1.013	0.0037
coded_by=complement(34955..35362),organism=Rhodomicrobium udaipurense JA643,definition=arsenate reductase	1.707	0.0062
coded_by=complement(2998004..2998360),organism=Burkholderia stagnalis,definition=arsenate reductase	6.624	0.0240
coded_by=12103..12501,organism=Afipia sp. 62-7,definition=arsenate reductase (glutaredoxin)	2.629	0.0095
coded_by=<1..>350,organism=uncultured bacterium,definition=arsenate reductase	22.089	0.0799
coded_by=complement(61316..61660),organism=Mycobacterium sp. 1245111.1,definition=arsenate reductase (glutaredoxin)	1.377	0.0050
coded_by=complement(11338..11760),organism=Achromobacter xylosoxidans,definition=arsenate reductase (glutaredoxin)	1.05	0.0038
coded_by=7321..7704,organism=Caulobacter vibrioides,definition=arsenate reductase	3.332	0.0120
coded_by=6870121..6870528,organism=Bradyrhizobium erythrophlei,definition=arsenate reductase	12.325999999999999	0.0446
coded_by=33070..33495,organism=Afipia sp. P52-10,definition=arsenate reductase	0.98	0.0035
coded_by=3789796..3790155,organism=Burkholderia sp. GAS332,definition=arsenate reductase	2.041	0.0074
coded_by=complement(7034318..7034719),organism=Bradyrhizobium diazoefficiens,definition=arsenate reductase	1.152	0.0042
coded_by=complement(1629090..1629500),organism=Phenylobacterium zucineum HLK1,definition=arsenate reductase	1.082	0.0039
