Taxon	Abundance	Fraction Abundance
coded_by=149..619,organism=uncultured bacterium,definition=dihydrofolate reductase	1.092	0.0053
coded_by=complement(14679..15191),organism=Bradyrhizobium paxllaeri,definition=diacylglycerol kinase	2.457	0.0119
coded_by=complement(28133..28645),organism=Bradyrhizobium sp. DFCI-1,definition=dihydrofolate reductase	1.348	0.0065
coded_by=complement(2118644..2119156),organism=Candidatus Phaeomarinobacter ectocarpi,definition=Dihydrofolate reductase	2.7880000000000003	0.0135
coded_by=complement(44922..45401),organism=Microgenomates (Daviesbacteria) bacterium GW2011_GWA2_38_24,definition=Dihydrofolate reductase	1.475	0.0071
coded_by=complement(707..1198),organism=uncultured bacterium,definition=Dihydrofolate reductase	3.585	0.0173
coded_by=complement(1073593..1074096),organism=Burkholderia glumae PG1,definition=dihydrofolate reductase FolA	1.11	0.0054
coded_by=complement(312879..313385),organism=Pseudomonas aeruginosa,definition=Dihydrofolate reductase	3.891	0.0188
coded_by=complement(3444506..3445006),organism=Alteromonas stellipolaris LMG 21856,definition=Dihydrofolate reductase	1.089	0.0053
coded_by=1043587..1044102,organism=Pseudomonas oryzihabitans,definition=diacylglycerol kinase	2.898	0.0140
coded_by=20..517,organism=uncultured bacterium,definition=Dihydrofolate reductase	4.1579999999999995	0.0201
coded_by=complement(1432..1899),organism=uncultured bacterium,definition=Dihydrofolate reductase	1.441	0.0070
coded_by=41462..41950,organism=Gammaproteobacteria bacterium SCGC AG-212-F23,definition=dihydrofolate reductase	1.202	0.0058
coded_by=<1..621,organism=uncultured bacterium,definition=Dihydrofolate reductase	21.348000000000003	0.1031
coded_by=complement(23283..23795),organism=Bradyrhizobium lablabi,definition=diacylglycerol kinase	27.779	0.1342
coded_by=2137847..2138341,organism=Leadbetterella byssophila DSM 17132,definition=dihydrofolate reductase	3.385	0.0164
coded_by=complement(2261683..2262168),organism=Bacillus sp. FJAT-21945,definition=dihydrofolate reductase	1.139	0.0055
coded_by=2414634..2415149,organism=Rhodopseudomonas palustris BisA53,definition=dihydrofolate reductase	1.029	0.0050
coded_by=2922594..2923112,organism=Methylococcus capsulatus str. Bath,definition=dihydrofolate reductase	1.348	0.0065
coded_by=2257389..2257940,organism=Nitrosospira multiformis ATCC 25196,definition=dihydrofolate reductase	1.742	0.0084
coded_by=complement(902351..902869),organism=Phenylobacterium zucineum HLK1,definition=dihydrofolate reductase	2.106	0.0102
coded_by=complement(84..575),organism=uncultured bacterium,definition=Dihydrofolate reductase	6.807	0.0329
coded_by=570..1043,organism=uncultured bacterium,definition=Dihydrofolate reductase	10.516	0.0508
